,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
96,2018-05-04,514,9106.916666666666,17.786946614583332,24.810700389105058,15.4,29.2,1013.0916342412452,61.431906614785994
97,2018-05-05,298,11370.083333333334,38.15464205816555,23.948993288590604,15.2,28.9,1013.9942953020134,60.43624161073826
98,2018-05-06,421,20773.0,49.342042755344416,22.96912114014252,14.4,28.8,1014.6380047505937,63.19477434679335
99,2018-05-07,483,9419.816666666666,19.502726017943406,23.290683229813663,14.5,28.6,1014.3026915113871,61.33540372670807
100,2018-05-08,507,10781.566666666666,21.34963696369637,23.131163708086785,14.9,27.0,1013.8538461538461,60.086785009861934
101,2018-05-09,536,11494.266666666666,21.64645323289391,22.422947761194028,14.7,27.4,1013.9591417910448,61.72761194029851
102,2018-05-10,497,10119.0,20.36016096579477,22.18189134808853,14.7,27.0,1013.7444668008048,63.629778672032195
103,2018-05-11,521,10242.6,19.697307692307692,22.742802303262955,14.7,28.1,1014.5103646833014,62.20537428023032
104,2018-05-12,299,10808.716666666667,36.14955406911929,23.055183946488295,13.3,29.0,1012.8247491638796,56.69230769230769
105,2018-05-13,259,11222.383333333333,43.32966537966538,22.42162162162162,12.8,29.2,1011.96138996139,58.49420849420849
106,2018-05-14,545,12185.466666666667,22.399754901960787,22.984587155963304,13.2,28.9,1012.4247706422018,57.190825688073396
107,2018-05-15,585,12709.0,21.724786324786326,22.445982905982905,14.5,26.9,1012.8500854700856,63.92649572649572
108,2018-05-16,507,13314.8,26.31383399209486,22.59191321499014,14.3,28.3,1012.7642998027613,65.10650887573965
109,2018-05-17,533,13456.116666666667,25.245997498436523,22.75046904315197,14.4,28.1,1012.3714821763602,63.75984990619137
110,2018-05-18,475,10089.316666666666,21.240666666666666,22.97663157894737,15.1,28.1,1011.738947368421,65.56842105263158
111,2018-05-19,263,8710.45,33.37337164750958,22.216730038022813,15.6,27.3,1012.0353612167299,70.98479087452472
112,2018-05-20,283,14071.616666666667,49.89934988179669,20.70600706713781,16.1,24.6,1012.2544169611307,75.4452296819788
113,2018-05-21,520,13062.05,25.119326923076922,20.4875,11.1,26.6,1013.0136538461538,64.34423076923076
114,2018-05-22,524,12715.783333333333,24.266762086513992,21.548664122137403,11.7,27.2,1014.0416030534352,62.32824427480916
115,2018-05-23,549,11350.066666666666,20.711800486618003,21.951001821493627,12.5,27.9,1014.9213114754099,60.28051001821493
116,2018-05-24,632,13305.5,21.053006329113924,22.889873417721518,14.1,27.9,1015.8691455696203,65.39082278481013
117,2018-05-25,621,14372.883333333333,23.18206989247312,22.242028985507247,15.7,26.4,1015.825925925926,68.91626409017714
118,2018-05-26,471,15763.4,33.467940552016984,21.358386411889594,14.9,26.3,1015.4904458598726,66.66029723991507
119,2018-05-27,537,23247.88333333333,43.37291666666666,20.949162011173183,13.5,25.5,1016.8400372439478,64.8510242085661
120,2018-05-28,606,14093.383333333333,23.294848484848483,20.97953795379538,12.6,25.5,1017.1600660066007,62.86963696369637
121,2018-05-29,686,15080.616666666667,21.98340621963071,20.947959183673472,13.2,25.1,1017.2934402332362,64.18950437317784
122,2018-05-30,697,15160.583333333334,21.7511956001913,20.591391678622667,12.5,25.4,1016.5769010043041,63.74605451936872
123,2018-05-31,556,21440.233333333334,38.70078219013237,20.63003597122302,11.2,26.3,1014.8541366906476,59.631294964028775
124,2018-06-01,598,0.0,,21.911204013377926,11.0,27.6,1013.7857859531773,53.56688963210702
125,2018-06-02,441,0.0,,21.5,11.1,27.9,1015.0528344671202,56.55328798185941
126,2018-06-03,436,0.0,,21.42155963302752,10.7,28.1,1016.691513761468,55.392201834862384
127,2018-06-04,610,0.0,,22.728688524590165,11.6,28.3,1016.0504918032788,56.80491803278689
128,2018-06-05,624,0.0,,22.757692307692306,13.2,27.9,1014.3004807692307,60.80288461538461
129,2018-06-06,655,0.0,,23.14564885496183,14.2,28.3,1011.5058015267176,61.63664122137405
130,2018-06-07,640,0.0,,23.488750000000003,14.5,29.1,1012.83828125,64.7859375
131,2018-06-08,555,0.0,,23.874414414414414,15.1,29.3,1014.578918918919,64.85045045045045
132,2018-06-09,335,0.0,,24.069253731343284,15.2,29.4,1014.6749253731342,64.82388059701492
133,2018-06-10,433,0.0,,23.237413394919166,15.4,28.9,1014.3635103926098,64.85912240184757
134,2018-06-11,616,0.0,,23.38100649350649,14.5,28.2,1014.1105519480519,62.311688311688314
135,2018-06-12,587,0.0,,22.437649063032367,13.9,28.8,1014.5218057921636,64.40715502555366
136,2018-06-13,527,0.0,,23.073624288425044,14.3,29.4,1014.8823529411765,59.381404174573056
137,2018-06-14,583,0.0,,22.380102915951973,13.1,29.1,1015.3104631217839,61.109777015437395
138,2018-06-15,475,0.0,,22.15452631578947,12.9,28.4,1016.2248421052632,58.84842105263158
139,2018-06-16,319,0.0,,21.58902821316614,11.9,27.3,1017.5075235109719,55.22257053291536
140,2018-06-17,275,0.0,,18.948,10.6,26.8,1018.997090909091,63.403636363636366
141,2018-06-18,536,0.0,,21.122201492537314,11.1,26.3,1019.4666044776119,56.67164179104478
142,2018-06-19,544,0.0,,20.55422794117647,11.1,25.7,1018.8047794117648,57.588235294117645
143,2018-06-20,520,0.0,,20.55326923076923,12.8,25.7,1018.8811538461538,61.53269230769231
144,2018-06-21,573,0.0,,20.992321116928448,12.3,26.2,1017.7527050610821,64.05759162303664
145,2018-06-22,370,0.0,,22.30972972972973,11.9,26.9,1016.3040540540541,57.92702702702703
146,2018-06-23,334,0.0,,22.372754491017965,11.9,27.8,1015.1847305389222,53.31437125748503
